City,Population,MedianIncome,PopulationWithHighSchoolDiploma,PopulationWithAssociatesDegree,PopulationWithBachelorsDegree,PopulationWithHighSpeedInternet,Latitude,Longitude
"Algonquin, IL",32663.0,102372.0,3944.0,1833.0,6802.0,30155,42.1625057,-88.31560259999998
"Alhambra, CA",84335.0,61891.5,13927.0,4645.0,14874.0,84231,34.0835711,-118.1364436
"Alhambra, IL",1669.0,76000.0,390.0,111.0,291.0,681,38.88744570000001,-89.7368757
"Alice, TX",28941.0,39979.0,5855.0,1216.0,1736.0,17946,27.7556157,-98.0658117
"Aliceville, AL",6730.0,31921.0,1172.0,262.0,523.0,2331,33.1237058,-88.1593444
"Aline, OK",628.0,59141.0,173.0,21.0,65.0,192,36.5096704,-98.44867159999998
"Aliquippa, PA",31081.0,55159.0,6950.0,3003.0,3577.0,9283,40.6158274,-80.2551622
"Aliso Viejo, CA",52268.0,111690.0,3303.0,2884.0,12967.0,43746,33.57921,-117.72889779999998
"Allamuchy, NJ",8.0,-666666666.0,2.0,0.0,2.0,95,40.9313607,-74.81174320000002
"Allardt, TN",722.0,29821.0,207.0,22.0,75.0,666,36.3810873,-84.8813931
"Alleene, AR",26.0,-666666666.0,15.0,0.0,0.0,49,33.764823,-94.2621982
"Allegan, MI",18001.0,58780.0,4473.0,1238.0,1195.0,5065,42.531075,-85.8392358
"Allegany, NY",6163.0,57031.0,1004.0,706.0,708.0,1601,42.0906485,-78.4896325
"Alleman, IA",434.0,98750.0,58.0,58.0,84.0,540,41.814899,-93.6092283
"Allen Park, MI",27216.0,67130.0,5174.0,2222.0,3178.0,26320,42.2594735,-83.2103905
"Allen, KS",460.0,63750.0,116.0,38.0,14.0,179,38.6551225,-96.1696355
"Allen, KY",516.0,-666666666.0,129.0,40.0,38.0,144,37.6115701,-82.72906329999998
"Allen, MD",814.0,150488.0,106.0,65.0,187.0,117,38.288387,-75.6930505
"Allen, MI",1114.0,49519.0,347.0,57.0,72.0,189,41.9579914,-84.76836690000002
"Allen, NE",768.0,49808.0,185.0,60.0,57.0,341,42.4144336,-96.8432088
"Allen, OK",2019.0,43882.0,514.0,74.0,175.0,140,34.8776278,-96.4128888
"Allen, SD",846.0,35500.0,37.0,6.0,15.0,395,43.2791363,-101.9265096
"Allen, TX",113882.0,115969.0,8921.0,5885.0,24788.0,90068,33.10973619999999,-96.6730316
"Allendale, IL",1377.0,72500.0,242.0,144.0,88.0,462,38.52762720000001,-87.7103443
"Allendale, MI",24900.0,46857.0,1953.0,871.0,2159.0,16889,42.98196160000001,-85.944126
"Allendale, MO",67.0,57500.0,21.0,6.0,9.0,53,40.4853402,-94.2886795
"Allendale, NJ",6765.0,170968.0,300.0,203.0,1921.0,6683,41.0326691,-74.1338262
"Allendale, SC",4040.0,22688.0,1114.0,160.0,172.0,906,33.0080468,-81.30916429999998
